Rec Id,Src Acct Code,Src Acct Desc,Xref Key,Acct Id,Property Id,Property Name,Acct Code,Acct Suffix,Acct Name,Multiplier,Created,Updated
"25,388",WLK IN-Rev,Walk In,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,389",COMP-Rev,NO CHARGE-COMP ROOM,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,390",$0.00,$0.00,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,391",BW-Rev,Best Western Member,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,392",CENTRA-Rev,Central Reservation,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,393",Corp-Rev,Corporate Travel,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,394",Direct-Rev,Walk In/Phone,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,395",MIS-Rev,MISC.,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,396",OTA-BK-Rev,OTA Commissionable-Booking.com,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,397",OTA-EX-Rev,OTA Commissionable-Expedia,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,398",OTA-O-Rev,OTA Commissionable-Other,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,399",RP-BK-Rev,OTA Noncommissionable,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,400",RP-EX-Rev,OTA Noncommissionable-Expedia,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,401",RP-O-Rev,OTA Noncommissionable-Other,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,402",($4.98),($4.98),,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,403",AP,ADJ PHONE CHGS,,0,1,Marina Beach Motel,,,,1.00,01/07/2021,03/19/2021
"25,404",93,ADJ ROOM TAX,,455,1,Marina Beach Motel,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/07/2021,04/06/2021
"25,407",AU,AUDITORIUM TAX,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
"25,408",AT1,Auditorium Tax Adjustment,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
"25,409",LO,LODGING TAX,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,04/06/2021
"25,410",AT2,Lodging Tax Adjustment,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,04/06/2021
"25,411",9,ROOM TAX,,455,1,Marina Beach Motel,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/07/2021,04/06/2021
"25,412",ST,STATE TAX,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
"25,413",AT3,State Tax Adjustment,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
"25,415",% of Base,% of Base,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,416",% of Tier,% of Tier,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,417",ADR,ADR,,439,0,,90001-418,,ADR,1.00,03/23/2021,12/28/2021
"25,418",ADR w/comps,ADR w/comps,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,419",CL ADMIN & LOSS,CL ADMIN & LOSS,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,420",CL ADV DEP CTRL,CL ADV DEP CTRL,AdvDepToGstLedger,0,0,,,,,1.00,03/23/2021,03/24/2021
"25,421",CL DB CONTROL,CL DB CONTROL,GstXfer,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,422",Comps,Comps,,194,0,,90004-421,,Comps,1.00,03/23/2021,12/28/2021
"25,423",Early C/O,Early C/O,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,424",GL ARD XFER,GL ARD XFER,,0,0,,,,,1.00,03/23/2021,03/24/2021
"25,425",GL CASH & CHECKS REV,GL CASH & CHECKS REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,426",GL CREDIT CARDS REV,GL CREDIT CARDS REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,427",GL DIRECT BILL XFRE REV,GL DIRECT BILL XFRE REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,428",GL MISC REV,GL MISC REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,429",GL MISC TAX REV,GL MISC TAX REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,430",GL PHONE REV,GL PHONE REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,431",GL ROOM REV,GL ROOM REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,432",GL ROOM TAX REV,GL ROOM TAX REV,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,433",Late C/I,Late C/I,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,434",No Show,No Show,,0,0,,,,,1.00,03/23/2021,03/23/2021
"25,435",Occupancy %,Occupancy %,,440,0,,90002-419,,Occy,1.00,03/23/2021,12/28/2021
"25,436",Occupied,Occupied,,442,0,,90006-423,,Rooms Sold,1.00,03/23/2021,12/28/2021
"25,437",Out of Service,Out of Service,,195,0,,90005-424,,OOS,1.00,03/23/2021,12/28/2021
